id,city,area_sqft,bhk,bathrooms,furnishing,status,tenant_preferred,rent
1,Mumbai,450,1,1,Semi-Furnished,Ready to Move,Bachelors,28000
2,Mumbai,650,2,2,Semi-Furnished,Ready to Move,Family,45000
3,Mumbai,950,3,2,Furnished,Ready to Move,Family,72000
4,Bengaluru,550,1,1,Furnished,Ready to Move,Bachelors,22000
5,Bengaluru,900,2,2,Furnished,Ready to Move,Bachelors,32000
6,Bengaluru,1250,3,3,Semi-Furnished,Ready to Move,Family,48000
7,Pune,500,1,1,Unfurnished,Ready to Move,Bachelors,16000
8,Pune,750,2,1,Semi-Furnished,Ready to Move,Family,24000
9,Pune,1100,3,2,Furnished,Ready to Move,Family,38000
10,Delhi,600,1,1,Semi-Furnished,Ready to Move,Bachelors,25000
11,Delhi,1100,3,2,Furnished,Ready to Move,Family,52000
12,Delhi,1500,4,3,Furnished,Ready to Move,Family,85000
13,Hyderabad,650,1,1,Semi-Furnished,Ready to Move,Bachelors,18000
14,Hyderabad,1000,3,2,Unfurnished,Ready to Move,Family,28000
15,Hyderabad,1350,3,3,Furnished,Ready to Move,Family,42000
16,Chennai,520,1,1,Unfurnished,Ready to Move,Bachelors,14000
17,Chennai,800,2,2,Semi-Furnished,Ready to Move,Bachelors,22000
18,Chennai,1150,3,2,Furnished,Ready to Move,Family,36000
19,Kolkata,480,1,1,Unfurnished,Ready to Move,Bachelors,12000
20,Kolkata,700,2,1,Unfurnished,Ready to Move,Family,18000
21,Kolkata,1050,3,2,Semi-Furnished,Ready to Move,Family,30000
22,Gurugram,650,1,1,Furnished,Ready to Move,Bachelors,30000
23,Gurugram,1200,3,3,Furnished,Ready to Move,Family,60000
24,Gurugram,1600,4,4,Furnished,Ready to Move,Family,95000
25,Noida,600,1,1,Semi-Furnished,Ready to Move,Bachelors,18000
26,Noida,950,2,2,Semi-Furnished,Ready to Move,Family,29000
27,Noida,1300,3,2,Furnished,Ready to Move,Family,43000
28,Ahmedabad,550,1,1,Unfurnished,Ready to Move,Bachelors,11000
29,Ahmedabad,900,2,2,Semi-Furnished,Ready to Move,Family,21000
30,Ahmedabad,1250,3,3,Furnished,Ready to Move,Family,34000
